id|datetm|cui|type|polarity|text
579008284973273089|Fri Mar 20 19:55:07 UTC 2015|C0011570|2|1|depression
579008284973273089|Fri Mar 20 19:55:07 UTC 2015|C0344315|3|1|depression
579008320079462401|Fri Mar 20 19:55:15 UTC 2015|C1696465|1|1|placebo
579008320079462401|Fri Mar 20 19:55:15 UTC 2015|C0033860|2|1|psoriasis
579008320842772480|Fri Mar 20 19:55:15 UTC 2015|C1696465|1|1|placebo
579008320842772480|Fri Mar 20 19:55:15 UTC 2015|C0033860|2|1|psoriasis
575029823652896769|Mon Mar 09 20:26:08 UTC 2015|C1522449|5|1|RT
575029823652896769|Mon Mar 09 20:26:08 UTC 2015|C0042789|3|1|vision
575029823652896769|Mon Mar 09 20:26:08 UTC 2015|C0271051|2|1|macular edema
575029823652896769|Mon Mar 09 20:26:08 UTC 2015|C0013604|2|1|edema
575029970151415808|Mon Mar 09 20:26:43 UTC 2015|C1522449|5|1|RT
575029970151415808|Mon Mar 09 20:26:43 UTC 2015|C1306459|2|1|Cancer
575029970151415808|Mon Mar 09 20:26:43 UTC 2015|C0006826|2|1|Cancer
575029970151415808|Mon Mar 09 20:26:43 UTC 2015|C0042789|3|1|sight
575032967002767360|Mon Mar 09 20:38:37 UTC 2015|C1522449|5|1|RT
575033968518520832|Mon Mar 09 20:42:36 UTC 2015|C0939400|1|1|nexium
575033968518520832|Mon Mar 09 20:42:36 UTC 2015|C0234369|3|1|trembling
575034148445888512|Mon Mar 09 20:43:19 UTC 2015|C1522449|5|1|RT
575034148445888512|Mon Mar 09 20:43:19 UTC 2015|C1306459|2|1|Cancer
575034148445888512|Mon Mar 09 20:43:19 UTC 2015|C0006826|2|1|Cancer
575034148445888512|Mon Mar 09 20:43:19 UTC 2015|C0042789|3|1|sight
575034375731081221|Mon Mar 09 20:44:13 UTC 2015|C1522449|5|1|RT
575034375731081221|Mon Mar 09 20:44:13 UTC 2015|C0024554|3|1|m
575034375731081221|Mon Mar 09 20:44:13 UTC 2015|C0021400|2|1|grippe
575034566844358656|Mon Mar 09 20:44:59 UTC 2015|C0043227|3|1|working
575035488005931010|Mon Mar 09 20:48:38 UTC 2015|C1306459|2|1|cancer
575035488005931010|Mon Mar 09 20:48:38 UTC 2015|C0006826|2|1|cancer
575035488005931010|Mon Mar 09 20:48:38 UTC 2015|C0544452|3|1|remission
575037768348336128|Mon Mar 09 20:57:42 UTC 2015|C0015672|3|1|fatigue
575038895991078913|Mon Mar 09 21:02:11 UTC 2015|C0719950|1|1|diovan hct
575038895991078913|Mon Mar 09 21:02:11 UTC 2015|C0018935|5|1|hct
575039731500740608|Mon Mar 09 21:05:30 UTC 2015|C0939400|1|1|NEXIUM
579015967600066560|Fri Mar 20 20:25:38 UTC 2015|C0524222|5|1|oxycontin
579015967600066560|Fri Mar 20 20:25:38 UTC 2015|C0722364|1|1|oxycontin
575041026760568832|Mon Mar 09 21:10:39 UTC 2015|C1522449|5|1|RT
575041026760568832|Mon Mar 09 21:10:39 UTC 2015|C0373675|5|1|mg
575041026760568832|Mon Mar 09 21:10:39 UTC 2015|C0030563|3|1|Para
579017282916990976|Fri Mar 20 20:30:52 UTC 2015|C0001175|2|1|AIDS
575043013518319616|Mon Mar 09 21:18:32 UTC 2015|C1121854|1|1|symbicort
575043013518319616|Mon Mar 09 21:18:32 UTC 2015|C0557875|3|1|tired
575043016311898112|Mon Mar 09 21:18:33 UTC 2015|C1522449|5|1|RT
575043016311898112|Mon Mar 09 21:18:33 UTC 2015|C1306459|2|1|Cancer
