id|datetm|cui|type|polarity|text
581507978844602369|Fri Mar 27 17:28:00 UTC 2015|C0722364|1|1|OxyContin
581507978844602369|Fri Mar 27 17:28:00 UTC 2015|C0035253|3|1|rests
581508051628396545|Fri Mar 27 17:28:18 UTC 2015|C0373675|5|1|mg
581508062932033536|Fri Mar 27 17:28:20 UTC 2015|C0202304|5|1|alcohol
581508155940708352|Fri Mar 27 17:28:42 UTC 2015|C0287163|1|1|seroquel
577616270943612928|Mon Mar 16 23:43:45 UTC 2015|C0041618|5|1|US
577616891071619073|Mon Mar 16 23:46:13 UTC 2015|C1522449|5|1|RT
577616971325444096|Mon Mar 16 23:46:32 UTC 2015|C1522449|5|1|RT
577618073160679424|Mon Mar 16 23:50:54 UTC 2015|C1522449|5|1|RT
577618073160679424|Mon Mar 16 23:50:54 UTC 2015|C1328247|2|1|abuse
577618073160679424|Mon Mar 16 23:50:54 UTC 2015|C0562381|3|1|abuse
577618073160679424|Mon Mar 16 23:50:54 UTC 2015|C0524222|5|1|Oxycontin
577618073160679424|Mon Mar 16 23:50:54 UTC 2015|C0722364|1|1|Oxycontin
581511570649407488|Fri Mar 27 17:42:17 UTC 2015|C0524222|5|1|OxyContin
581511570649407488|Fri Mar 27 17:42:17 UTC 2015|C0722364|1|1|OxyContin
